"Table1.1.4._NER for ECCE, by sex and province– 2018, 2019, 2020",,,,,,,,,,,,,,,,,,,
Province,School Type,2018,,,2019,,,2020,,,,,,,,,,,
,,Female,Male,Total,Female,Male,Total,Female,Male,Total,,,,,,,,,
3,96,84,180,480,443,923,255,253,508,284,272,556,550,563,1113,421,447,868,4148
4,159,149,308,673,711,1384,364,378,742,548,540,1088,937,1006,1943,582,631,1213,6678
5,132,131,263,424,463,887,194,223,417,224,273,497,531,624,1155,231,232,463,3682
6,19,13,32,92,99,191,30,31,61,15,19,34,77,101,178,21,33,54,550
7,2,1,3,55,39,94,6,9,15,3,2,5,31,36,67,15,6,21,205
8,,,,13,9,22,3,3,6,,2,2,,8,8,3,2,5,43
9,,,,6,4,10,1,1,2,1,,1,5,2,7,1,2,3,23
10,,,,1,,1,,2,2,,1,1,1,2,3,3,1,4,11
11,,,,1,2,3,1,,1,,,,,2,2,,1,1,7
12,,,,,,,,,,,,,,,,1,,1,1
13,,,,1,,1,1,,1,,,,1,3,4,2,,2,8
14,,,,1,1,2,,,,,,,,2,2,1,1,2,6
15,,,,,,,,,,,,,1,,1,,1,1,2
16,,,,,,,,,,,,,,1,1,1,1,2,3
17,,,,,,,,,,,,,,,,,1,1,1
28,,,,1,,1,,,,,,,,,,,,,1
2019,  385 ,  393 ,  778 ,"  1,851 ","  1,855 ","  3,706 ",  910 ,  916 ,"  1,826 ","  1,205 ","  1,167 ","  2,372 ","  2,235 ","  2,438 ","  4,673 ","  1,301 ","  1,372 ","  2,673 ","  16,028 "
1,1,,1,2,7,9,,1,1,,,,,3,3,,,,14
2,7,7,14,44,43,87,5,6,11,11,11,22,36,34,70,12,15,27,231
3,79,91,170,454,442,896,275,308,583,302,277,579,547,586,1133,318,353,671,4032
4,123,128,251,825,786,1611,403,378,781,551,529,1080,1038,1079,2117,608,653,1261,7101
5,119,108,227,424,480,904,205,198,403,329,331,660,548,628,1176,294,287,581,3951
6,45,49,94,57,61,118,19,20,39,10,16,26,50,84,134,60,55,115,526
7,9,9,18,26,25,51,3,5,8,1,2,3,10,12,22,7,9,16,118
8,2,,2,15,10,25,,,,,1,1,3,4,7,2,,2,37
9,,1,1,,,,,,,1,,1,,2,2,,,,4
10,,,,1,1,2,,,,,,,1,2,3,,,,5
11,,,,,,,,,,,,,,1,1,,,,1
13,,,,2,,2,,,,,,,,,,,,,2
14,,,,1,,1,,,,,,,2,,2,,,,3
17,,,,,,,,,,,,,,1,1,,,,1
18,,,,,,,,,,,,,,2,2,,,,2
2020,  324 ,  347 ,  671 ,"  1,684 ","  1,898 ","  3,582 ",  923 ,"  1,031 ","  1,954 ","  1,193 ","  1,184 ","  2,377 ","  2,381 ","  2,543 ","  4,924 ","  1,305 ","  1,419 ","  2,724 ","  16,232 "
1,,2,2,,,,,,,,,,,,,,,,2
2,14,10,24,43,49,92,19,22,41,4,1,5,48,48,96,18,18,36,294
3,81,102,183,445,491,936,237,268,505,281,247,528,687,664,1351,382,392,774,4277
4,150,150,300,695,779,1474,426,487,913,566,588,1154,976,1051,2027,604,666,1270,7138
5,70,74,144,439,486,925,216,219,435,310,322,632,581,662,1243,247,306,553,3932
6,8,7,15,42,61,103,18,29,47,24,24,48,70,99,169,40,25,65,447
7,1,2,3,7,13,20,5,5,10,2,1,3,12,9,21,12,12,24,81
8,,,,9,14,23,2,1,3,1,,1,2,6,8,1,,1,36
9,,,,4,3,7,,,,2,1,3,3,4,7,,,,17
10,,,,,,,,,,2,,2,,,,,,,2
11,,,,,,,,,,1,,1,,,,,,,1
17,,,,,,,,,,,,,,,,1,,1,1
18,,,,,,,,,,,,,1,,1,,,,1
22,,,,,1,1,,,,,,,,,,,,,1
38,,,,,,,,,,,,,1,,1,,,,1
50,,,,,1,1,,,,,,,,,,,,,1
